Date : 2023-12-08 14:24:52
Directory : /Users/thomascantwell/pixel-vee
Total : 118 files,  16720 codes, 2536 comments, 1051 blanks, all 20307 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/thomascantwell/pixel-vee/src/Shortcuts/keys.js                | JavaScript |         37 |          3 |          1 |         41 |
| /Users/thomascantwell/pixel-vee/src/Swatch/Picker.js                 | JavaScript |        271 |         58 |         32 |        361 |
| /Users/thomascantwell/pixel-vee/src/Swatch/events.js                 | JavaScript |        204 |         66 |         18 |        288 |
| /Users/thomascantwell/pixel-vee/src/Testing/brushTest.js             | JavaScript |         79 |         31 |          6 |        116 |
| /Users/thomascantwell/pixel-vee/src/Testing/ellipseTest.js           | JavaScript |         78 |          4 |          3 |         85 |
| /Users/thomascantwell/pixel-vee/src/Testing/performanceTesting.js    | JavaScript |         14 |          5 |          2 |         21 |
| /Users/thomascantwell/pixel-vee/src/Testing/storedActions.js         | JavaScript |         12 |          0 |          1 |         13 |
| /Users/thomascantwell/pixel-vee/src/Tools/brush.js                   | JavaScript |        222 |         55 |         13 |        290 |
| /Users/thomascantwell/pixel-vee/src/Tools/curve.js                   | JavaScript |        476 |         57 |         10 |        543 |
| /Users/thomascantwell/pixel-vee/src/Tools/ellipse.js                 | JavaScript |        260 |         40 |          7 |        307 |
| /Users/thomascantwell/pixel-vee/src/Tools/events.js                  | JavaScript |        175 |         68 |         18 |        261 |
| /Users/thomascantwell/pixel-vee/src/Tools/eyedropper.js              | JavaScript |         47 |         11 |          3 |         61 |
| /Users/thomascantwell/pixel-vee/src/Tools/fill.js                    | JavaScript |        136 |         17 |          5 |        158 |
| /Users/thomascantwell/pixel-vee/src/Tools/grab.js                    | JavaScript |         39 |          4 |          3 |         46 |
| /Users/thomascantwell/pixel-vee/src/Tools/index.js                   | JavaScript |         93 |         27 |          4 |        124 |
| /Users/thomascantwell/pixel-vee/src/Tools/line.js                    | JavaScript |         94 |         12 |          4 |        110 |
| /Users/thomascantwell/pixel-vee/src/Tools/move.js                    | JavaScript |        132 |         23 |         10 |        165 |
| /Users/thomascantwell/pixel-vee/src/Tools/select.js                  | JavaScript |         66 |         41 |          6 |        113 |
| /Users/thomascantwell/pixel-vee/src/index.js                         | JavaScript |         15 |         16 |         12 |         43 |
| /Users/thomascantwell/pixel-vee/src/utils/actionInterfaceHelpers.js  | JavaScript |         43 |         24 |          6 |         73 |
| /Users/thomascantwell/pixel-vee/src/utils/bezier.js                  | JavaScript |        619 |        157 |         37 |        813 |
| /Users/thomascantwell/pixel-vee/src/utils/brushHelpers.js            | JavaScript |        134 |         56 |         22 |        212 |
| /Users/thomascantwell/pixel-vee/src/utils/canvasHelpers.js           | JavaScript |         17 |          5 |          1 |         23 |
| /Users/thomascantwell/pixel-vee/src/utils/colorConversion.js         | JavaScript |         97 |         46 |         19 |        162 |
| /Users/thomascantwell/pixel-vee/src/utils/colors.js                  | JavaScript |          6 |          0 |          1 |          7 |
| /Users/thomascantwell/pixel-vee/src/utils/constrainElementOffsets.js | JavaScript |         11 |          1 |          1 |         13 |
| /Users/thomascantwell/pixel-vee/src/utils/drag.js                    | JavaScript |        189 |         26 |         18 |        233 |
| /Users/thomascantwell/pixel-vee/src/utils/drawHelpers.js             | JavaScript |         22 |         17 |          2 |         41 |
| /Users/thomascantwell/pixel-vee/src/utils/ellipse.js                 | JavaScript |        374 |        106 |         29 |        509 |
| /Users/thomascantwell/pixel-vee/src/utils/eventHelpers.js            | JavaScript |         31 |          0 |          7 |         38 |
| /Users/thomascantwell/pixel-vee/src/utils/guiHelpers.js              | JavaScript |         30 |         27 |          3 |         60 |
| /Users/thomascantwell/pixel-vee/src/utils/imageDataHelpers.js        | JavaScript |         30 |         22 |          4 |         56 |
| /Users/thomascantwell/pixel-vee/src/utils/maskHelpers.js             | JavaScript |         15 |          5 |          1 |         21 |
| /Users/thomascantwell/pixel-vee/src/utils/moveHelpers.js             | JavaScript |         40 |         25 |         14 |         79 |
| /Users/thomascantwell/pixel-vee/src/utils/optionsInterfaceHelpers.js | JavaScript |         29 |         14 |          9 |         52 |
| /Users/thomascantwell/pixel-vee/src/utils/pickerHelpers.js           | JavaScript |         49 |         43 |          6 |         98 |
| /Users/thomascantwell/pixel-vee/src/utils/trig.js                    | JavaScript |         16 |         15 |          2 |         33 |
| /Users/thomascantwell/pixel-vee/src/utils/vectorHelpers.js           | JavaScript |          4 |          8 |          1 |         13 |
| Total                                                                |            |     16,720 |      2,536 |      1,051 |     20,307 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
